train_id,train_type,station,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,delay_minutes,platform_used,track_used,position_meters,timestamp
EX-001,Express,Velachery,2024-01-15 06:00:00,2024-01-15 06:00:00,2024-01-15 06:06:00,2024-01-15 06:06:00,0.0,4,Loop,88829.03304619472,2024-01-15 06:00:00
EX-001,Express,Velachery,2024-01-15 06:00:30,2024-01-15 06:00:30,2024-01-15 06:10:30,2024-01-15 06:10:30,0.0,3,Loop,89857.95884507,2024-01-15 06:00:30
EX-001,Express,Sullurupeta,2024-01-15 06:15:00,2024-01-15 06:15:00,2024-01-15 06:23:00,2024-01-15 06:23:00,0.0,1,Loop,90874.74328823484,2024-01-15 06:15:00
EX-001,Express,Sullurupeta,2024-01-15 06:15:30,2024-01-15 06:15:30,2024-01-15 06:23:30,2024-01-15 06:23:30,0.0,2,Loop,91897.14199488204,2024-01-15 06:15:30
EX-001,Express,Chennai Egmore,2024-01-15 06:30:00,2024-01-15 06:30:00,2024-01-15 06:35:00,2024-01-15 06:35:00,0.0,2,Main,18678.983928650603,2024-01-15 06:30:00
EX-001,Express,Sullurupeta,2024-01-15 06:30:30,2024-01-15 06:30:30,2024-01-15 06:35:30,2024-01-15 06:35:30,0.0,1,Main,90950.90758465054,2024-01-15 06:30:30
EX-001,Express,Velachery,2024-01-15 06:45:00,2024-01-15 06:45:00,2024-01-15 06:50:00,2024-01-15 06:50:00,0.0,1,Main,89885.63483685494,2024-01-15 06:45:00
EX-001,Express,Velachery,2024-01-15 06:45:30,2024-01-15 06:45:30,2024-01-15 06:55:30,2024-01-15 06:55:30,0.0,3,Main,88828.06724988516,2024-01-15 06:45:30
EX-001,Express,Velachery,2024-01-15 07:00:00,2024-01-15 07:00:00,2024-01-15 07:06:00,2024-01-15 07:06:00,0.0,3,Main,87770.95530636606,2024-01-15 07:00:00
EX-001,Express,Velachery,2024-01-15 07:00:30,2024-01-15 07:00:30,2024-01-15 07:07:30,2024-01-15 07:07:30,0.0,4,Main,86717.36951283355,2024-01-15 07:00:30
EX-001,Express,Chennai Egmore,2024-01-15 07:15:00,2024-01-15 07:15:00,2024-01-15 07:21:00,2024-01-15 07:21:00,0.0,2,Main,11227.650225466248,2024-01-15 07:15:00
EX-001,Express,Velachery,2024-01-15 07:15:30,2024-01-15 07:15:30,2024-01-15 07:21:30,2024-01-15 07:21:30,0.0,2,Main,84624.83819017002,2024-01-15 07:15:30
EX-001,Express,Velachery,2024-01-15 07:30:00,2024-01-15 07:30:00,2024-01-15 07:37:00,2024-01-15 07:37:00,0.0,2,Main,83582.9375141537,2024-01-15 07:30:00
EX-001,Express,Velachery,2024-01-15 07:30:30,2024-01-15 07:30:30,2024-01-15 07:35:30,2024-01-15 07:35:30,0.0,2,Main,82549.98413139627,2024-01-15 07:30:30
EX-001,Express,Velachery,2024-01-15 07:45:00,2024-01-15 07:45:00,2024-01-15 07:51:00,2024-01-15 07:51:00,0.0,3,Main,81513.14836071224,2024-01-15 07:45:00
EX-001,Express,Velachery,2024-01-15 07:45:30,2024-01-15 07:45:30,2024-01-15 07:54:30,2024-01-15 07:54:30,0.0,1,Main,80482.11996887284,2024-01-15 07:45:30
EX-001,Express,Velachery,2024-01-15 08:00:00,2024-01-15 08:00:00,2024-01-15 08:07:00,2024-01-15 08:07:00,0.0,1,Main,79464.41473569161,2024-01-15 08:00:00
EX-001,Express,Velachery,2024-01-15 08:00:30,2024-01-15 08:00:30,2024-01-15 08:06:30,2024-01-15 08:06:30,0.0,1,Main,78459.3669047977,2024-01-15 08:00:30
EX-001,Express,Velachery,2024-01-15 08:15:00,2024-01-15 08:15:00,2024-01-15 08:24:00,2024-01-15 08:24:00,0.0,2,Main,77458.22775187362,2024-01-15 08:15:00
EX-001,Express,Velachery,2024-01-15 08:15:30,2024-01-15 08:15:30,2024-01-15 08:20:30,2024-01-15 08:20:30,0.0,4,Main,76459.593593417,2024-01-15 08:15:30
EX-001,Express,Velachery,2024-01-15 08:30:00,2024-01-15 08:30:00,2024-01-15 08:37:00,2024-01-15 08:37:00,0.0,3,Main,75472.90568895951,2024-01-15 08:30:00
EX-001,Express,Velachery,2024-01-15 08:30:30,2024-01-15 08:30:30,2024-01-15 08:38:30,2024-01-15 08:38:30,0.0,4,Main,74495.60312198111,2024-01-15 08:30:30
EX-001,Express,Chennai Egmore,2024-01-15 08:45:00,2024-01-15 08:45:00,2024-01-15 08:52:00,2024-01-15 08:52:00,0.0,2,Main,10227.98632257553,2024-01-15 08:45:00
EX-001,Express,Velachery,2024-01-15 08:45:30,2024-01-15 08:45:30,2024-01-15 08:54:30,2024-01-15 08:54:30,0.0,2,Main,72522.90668700267,2024-01-15 08:45:30
EX-001,Express,Velachery,2024-01-15 09:00:00,2024-01-15 09:00:00,2024-01-15 09:09:00,2024-01-15 09:09:00,0.0,4,Main,71518.79944910154,2024-01-15 09:00:00
EX-001,Express,Velachery,2024-01-15 09:00:30,2024-01-15 09:00:30,2024-01-15 09:05:30,2024-01-15 09:05:30,0.0,4,Main,70500.30088950171,2024-01-15 09:00:30
EX-001,Express,Perambur,2024-01-15 09:15:00,2024-01-15 09:15:00,2024-01-15 09:25:00,2024-01-15 09:25:00,0.0,4,Main,69482.95611883758,2024-01-15 09:15:00
EX-001,Express,Perambur,2024-01-15 09:15:30,2024-01-15 09:15:30,2024-01-15 09:21:30,2024-01-15 09:21:30,0.0,3,Main,68461.22920751062,2024-01-15 09:15:30
EX-001,Express,Perambur,2024-01-15 09:30:00,2024-01-15 09:30:00,2024-01-15 09:40:00,2024-01-15 09:40:00,0.0,4,Main,67435.93634583331,2024-01-15 09:30:00
EX-001,Express,Perambur,2024-01-15 09:30:30,2024-01-15 09:30:30,2024-01-15 09:40:30,2024-01-15 09:40:30,0.0,3,Main,66413.70182532669,2024-01-15 09:30:30
EX-001,Express,Perambur,2024-01-15 09:45:00,2024-01-15 09:45:00,2024-01-15 09:54:00,2024-01-15 09:54:00,0.0,1,Main,65384.17722394696,2024-01-15 09:45:00
EX-001,Express,Perambur,2024-01-15 09:45:30,2024-01-15 09:45:30,2024-01-15 09:55:30,2024-01-15 09:55:30,0.0,2,Main,64347.34915179915,2024-01-15 09:45:30
EX-001,Express,Perambur,2024-01-15 10:00:00,2024-01-15 10:00:00,2024-01-15 10:09:00,2024-01-15 10:09:00,0.0,4,Main,63318.16491848163,2024-01-15 10:00:00
EX-001,Express,Perambur,2024-01-15 10:00:30,2024-01-15 10:00:30,2024-01-15 10:08:30,2024-01-15 10:08:30,0.0,1,Main,62286.731117823154,2024-01-15 10:00:30
EX-001,Express,Chennai Central(MGR),2024-01-15 10:15:00,2024-01-15 10:15:00,2024-01-15 10:21:00,2024-01-15 10:21:00,0.0,3,Main,9018.14290167212,2024-01-15 10:15:00
EX-001,Express,Perambur,2024-01-15 10:15:30,2024-01-15 10:15:30,2024-01-15 10:24:30,2024-01-15 10:24:30,0.0,3,Main,60214.78140793127,2024-01-15 10:15:30
EX-001,Express,Perambur,2024-01-15 10:30:00,2024-01-15 10:30:00,2024-01-15 10:36:00,2024-01-15 10:36:00,0.0,3,Main,59192.96334372153,2024-01-15 10:30:00
